	cluster	cluster_color	dataset	dataset_color	type	type_color
NHL_GSE128531.52	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
BRCA_GSE110686.66	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA_GSE110686	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
SKCM_GSE120575_aPD1aCTLA4.5	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM_GSE120575_aPD1aCTLA4	(1.0, 0.4980392156862745, 0.054901960784313725)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
SKCM_GSE148190.9	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM_GSE148190	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
NSCLC_GSE99254.32	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NSCLC_GSE99254	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
ALL_GSE132509.87	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	ALL_GSE132509	(1.0, 0.4980392156862745, 0.054901960784313725)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
SKCM_GSE115978_aPD1.6	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM_GSE115978_aPD1	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
CLL_GSE111014.29	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	CLL_GSE111014	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
BRCA_GSE139495.82	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA_GSE139495	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
OV_GSE154600.26	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
LECR_GSE139555_UCEC.0	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	LECR_GSE139555_UCEC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	LECR	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
COAD_GSE146771_Smartseq2.80	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
BLCA_GSE149652.76	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BLCA_GSE149652	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
ALL_GSE154109.30	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	ALL_GSE154109	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
LIHC_GSE98638.16	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	LIHC_GSE98638	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	LIHC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
COAD_GSE146771_10X.19	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
NPC_GSE150430.99	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NPC_GSE150430	(1.0, 0.4980392156862745, 0.054901960784313725)	NPC	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
NSCLC_GSE117570.20	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NSCLC_GSE117570	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
NSCLC_GSE117570.97	1	(1.0, 0.4980392156862745, 0.054901960784313725)	NSCLC_GSE117570	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
UVM_GSE139829.14	1	(1.0, 0.4980392156862745, 0.054901960784313725)	UVM_GSE139829	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	UVM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
OV_GSE130000.29	1	(1.0, 0.4980392156862745, 0.054901960784313725)	OV_GSE130000	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
SKCM_GSE72056.41	1	(1.0, 0.4980392156862745, 0.054901960784313725)	SKCM_GSE72056	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
GBM_GSE84465.95	1	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE84465	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
CLL_GSE142744.94	1	(1.0, 0.4980392156862745, 0.054901960784313725)	CLL_GSE142744	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
LIHC_GSE98638.44	1	(1.0, 0.4980392156862745, 0.054901960784313725)	LIHC_GSE98638	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	LIHC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
PAAD_GSE111672.60	1	(1.0, 0.4980392156862745, 0.054901960784313725)	PAAD_GSE111672	(1.0, 0.4980392156862745, 0.054901960784313725)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
BRCA_GSE139495.75	1	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA_GSE139495	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
SCC_GSE123813_aPD1.24	1	(1.0, 0.4980392156862745, 0.054901960784313725)	SCC_GSE123813_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
BRCA_GSE114727_10X.44	1	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA_GSE114727_10X	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
HNSC_GSE103322.33	1	(1.0, 0.4980392156862745, 0.054901960784313725)	HNSC_GSE103322	(1.0, 0.4980392156862745, 0.054901960784313725)	HNSC	(1.0, 0.4980392156862745, 0.054901960784313725)
NSCLC_EMTAB6149.7	1	(1.0, 0.4980392156862745, 0.054901960784313725)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
GBM_GSE131928_10X.15	1	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE131928_10X	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
NSCLC_GSE153935.89	1	(1.0, 0.4980392156862745, 0.054901960784313725)	NSCLC_GSE153935	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
SKCM_GSE148190.0	1	(1.0, 0.4980392156862745, 0.054901960784313725)	SKCM_GSE148190	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
OV_GSE154600.33	1	(1.0, 0.4980392156862745, 0.054901960784313725)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
LECR_GSE139555_UCEC.17	1	(1.0, 0.4980392156862745, 0.054901960784313725)	LECR_GSE139555_UCEC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	LECR	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
CHOL_GSE142784.23	1	(1.0, 0.4980392156862745, 0.054901960784313725)	CHOL_GSE142784	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	CHOL	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
COAD_GSE146771_10X.27	1	(1.0, 0.4980392156862745, 0.054901960784313725)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
NSCLC_GSE99254.30	1	(1.0, 0.4980392156862745, 0.054901960784313725)	NSCLC_GSE99254	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
GBM_GSE103224.1	1	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE103224	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
STAD_GSE134520.23	1	(1.0, 0.4980392156862745, 0.054901960784313725)	STAD_GSE134520	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	STAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
GBM_GSE139448.82	1	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE139448	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
AML_GSE116256.96	1	(1.0, 0.4980392156862745, 0.054901960784313725)	AML_GSE116256	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
GBM_GSE131928_Smartseq2.89	1	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE131928_Smartseq2	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
PRAD_GSE141445.40	1	(1.0, 0.4980392156862745, 0.054901960784313725)	PRAD_GSE141445	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	PRAD	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
COAD_GSE108989.66	1	(1.0, 0.4980392156862745, 0.054901960784313725)	COAD_GSE108989	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
PBMC_30K.24	1	(1.0, 0.4980392156862745, 0.054901960784313725)	PBMC_30K	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BRCA_GSE114727_inDrop.4	1	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
BLCA_GSE149652.4	1	(1.0, 0.4980392156862745, 0.054901960784313725)	BLCA_GSE149652	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
CLL_GSE111014.37	1	(1.0, 0.4980392156862745, 0.054901960784313725)	CLL_GSE111014	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
PAAD_CRA001160.4	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
SKCM_GSE148190.46	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM_GSE148190	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
LIHC_GSE98638.96	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	LIHC_GSE98638	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	LIHC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
CHOL_GSE142784.55	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	CHOL_GSE142784	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	CHOL	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
NSCLC_GSE99254.20	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC_GSE99254	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
SCC_GSE144236.75	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
BRCA_GSE143423.93	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA_GSE143423	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
GBM_GSE131928_10X.20	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM_GSE131928_10X	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
COAD_GSE108989.26	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	COAD_GSE108989	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
SKCM_GSE120575_aPD1aCTLA4.97	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM_GSE120575_aPD1aCTLA4	(1.0, 0.4980392156862745, 0.054901960784313725)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
OV_GSE154600.59	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
COAD_GSE146771_Smartseq2.54	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
NSCLC_GSE143423.73	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC_GSE143423	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
HNSC_GSE103322.70	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	HNSC_GSE103322	(1.0, 0.4980392156862745, 0.054901960784313725)	HNSC	(1.0, 0.4980392156862745, 0.054901960784313725)
NSCLC_EMTAB6149.63	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
OV_GSE115007.66	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	OV_GSE115007	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
GBM_GSE138794.21	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM_GSE138794	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
STAD_GSE134520.46	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	STAD_GSE134520	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	STAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
GBM_GSE84465.48	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM_GSE84465	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
GBM_GSE103224.77	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM_GSE103224	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
UVM_GSE139829.2	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	UVM_GSE139829	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	UVM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
NSCLC_GSE143423.2	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC_GSE143423	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
BRCA_GSE114727_10X.3	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA_GSE114727_10X	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
BCC_GSE141526.94	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BCC_GSE141526	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BCC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
SKCM_GSE115978_aPD1.68	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM_GSE115978_aPD1	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
PAAD_GSE111672.28	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PAAD_GSE111672	(1.0, 0.4980392156862745, 0.054901960784313725)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
COAD_GSE146771_10X.87	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
LECR_GSE139555_UCEC.3	2	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	LECR_GSE139555_UCEC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	LECR	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
MCC_GSE117988_aPD1aCTLA4.75	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	MCC_GSE117988_aPD1aCTLA4	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	MCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
PBMC_30K.66	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PBMC_30K	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
SKCM_GSE120575_aPD1aCTLA4.41	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM_GSE120575_aPD1aCTLA4	(1.0, 0.4980392156862745, 0.054901960784313725)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
COAD_GSE146771_10X.64	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
AML_GSE116256.89	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	AML_GSE116256	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
NPC_GSE150430.25	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NPC_GSE150430	(1.0, 0.4980392156862745, 0.054901960784313725)	NPC	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
SKCM_GSE115978_aPD1.53	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM_GSE115978_aPD1	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
SCC_GSE144236.24	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
BRCA_GSE114727_inDrop.98	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
OV_GSE154600.17	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
KIRC_GSE111360.50	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
PBMC_8K.86	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PBMC_8K	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
NHL_GSE128531.46	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
AEL_GSE142213.7	3	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	AEL_GSE142213	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	AEL	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
