	MeC_id	TopTF	TopGene20	TopGene100	Enrich	Enrich_MSigDB_Hallmark_2020	Enrich_GO_Biological_Process_2021	Enrich_Reactome_2016	Enrich_BioPlanet_2019	Enrich_WikiPathways_2019_Human	Enrich_KEGG_2021_Human	Enrich_GO_Molecular_Function_2021	Lisa	Lisa_topcelltype	TF_MeC_top	TF_Lisa_top	TF_MeCLisa_top	TF_MeCLisa_top_1	sc_expr_toptype
10	MeC_10	KLF6,JUNB,FOS,ATF3,FOSB,JUN,ELF1,EGR1	MT-CO3,MT-CO2,MT-CYB,MT-CO1,MT-ATP6,MT-ND3,MT-ND4,MT-ND1,MT-ND2,MT-ND5,MT-ND4L,MT-ATP8,MALAT1,KLF6,MTRNR2L12,JUNB,MT-ND6,MTRNR2L8,ZFP36L2,BTG1	MT-CO3,MT-CO2,MT-CYB,MT-CO1,MT-ATP6,MT-ND3,MT-ND4,MT-ND1,MT-ND2,MT-ND5,MT-ND4L,MT-ATP8,MALAT1,KLF6,MTRNR2L12,JUNB,MT-ND6,MTRNR2L8,ZFP36L2,BTG1,SLC2A3,NEAT1,PPP1R15A,FOS,HSP90B1,ATF3,FOSB,EMP3,ZFP36,DNAJB1,SQSTM1,IER2,CD52,IFITM1,B2M,PSMA7,INS,RGS1,HLA-B,JUN,MTDH,DUSP2,HLA-E,ZFP36L1,MTRNR2L10,MTRNR2L1,DUSP1,COX5B,TMBIM6,CCL4,UBXN1,SARAF,SEC61B,SAT1,IL32,COX7A2,CD83,H1FX,FYB,SSR4,FXYD5,ARHGEF1,ELF1,STK17B,RAN,SGK1,CXCL8,CD37,PLIN2,HLA-C,CORO1B,MZT2B,SOD2,NFKBIZ,SEC62,PNRC1,UBXN4,IQGAP1,PCBP2,CCL4L2,CLEC2B,PSMB9,ZFAND5,GADD45B,GABARAPL2,ATP6V1F,EVL,MT-RNR2,UBE2D3,DRAP1,IFI30,IER3,LGALS3,BSG,EIF3G,EGR1,RGS10,APLP2,CTSZ,H3F3B	TNF-alpha Signaling via NF-kB; T cell receptor regulation of apoptosis; Interleukin-2 signaling pathway; UV Response Up; Hypoxia	TNF-alpha Signaling via NF-kB; UV Response Up; Hypoxia	cytokine-mediated signaling pathway (GO:0019221); antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480); antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	Immune System Homo sapiens R-HSA-168256; ER-Phagosome pathway Homo sapiens R-HSA-1236974; Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	T cell receptor regulation of apoptosis; Interleukin-2 signaling pathway; BDNF signaling pathway	Proteasome Degradation WP183; TGF-beta Signaling Pathway WP366; Senescence and Autophagy in Cancer WP615	Protein processing in endoplasmic reticulum; Kaposi sarcoma-associated herpesvirus infection; Cellular senescence		TBP,TAF1,RELA,MAF,MAX,KMT2A,SPI1,MYC,NFKB2,T,MED1,CDK9,GATA3,NCOR1,STAT1,CD74,BRD4,RELB,STAT5B,TCF12	GM12878,B Lymphocyte,Blood	BTG1,FOSB	TAF1,RELA,MAF,MAX,SPI1	JUNB	JUNB,ATF3,FOS,JUN,KLF6	Epithelial,MAIT,CD8Tem
11	MeC_11	HOPX,KLF2,LITAF,ZEB2,TSC22D3,TBX21,XBP1,YBX1,RORA	GNLY,NKG7,FGFBP2,GZMB,GZMH,PRF1,FCGR3A,CST7,ITGB2,SPON2,KLRD1,PLAC8,CTSW,CCND3,PLEK,CX3CR1,CD247,ARPC2,IFITM1,S1PR5	GNLY,NKG7,FGFBP2,GZMB,GZMH,PRF1,FCGR3A,CST7,ITGB2,SPON2,KLRD1,PLAC8,CTSW,CCND3,PLEK,CX3CR1,CD247,ARPC2,IFITM1,S1PR5,FLNA,HOPX,KLF2,BIN2,EFHD2,LITAF,GZMA,TXNIP,EMP3,CALM1,KLRF1,RAP1B,ITGB1,TYROBP,AES,UCP2,ADGRG1,GZMM,ZEB2,C12orf75,CYBA,IFITM2,CTSC,S100A4,IER2,GNG2,KLRB1,ARL4C,MYL12A,LGALS1,PFN1,SYNE1,FCRL6,CD53,TTC38,PRSS23,C1orf21,PXN,TSC22D3,HLA-E,CCL4,FGR,UBB,DSTN,CLIC3,APMAP,TGFBR3,ANXA1,MT2A,FCER1G,SPN,CMC1,DDIT4,YWHAQ,CD47,ADD3,CD300A,CYTH1,NEAT1,SUN2,TPST2,SRGN,TBX21,SYNE2,SH3BP5,MSN,XBP1,YBX1,KLRG1,CFL1,ITGAL,ADRB2,TCF25,HCST,HNRNPA2B1,DOK2,SYTL3,HLA-C,PDIA3,RORA	Interleukin-2 signaling pathway; regulation of immune response (GO:0050776); Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933; Allograft Rejection; Immunoregulatory interactions between a lymphoid and a non-lymphoid cell	Allograft Rejection; Complement; Interferon Alpha Response	regulation of immune response (GO:0050776); cellular defense response (GO:0006968); neutrophil mediated immunity (GO:0002446)	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933; Adaptive Immune System Homo sapiens R-HSA-1280218; Immune System Homo sapiens R-HSA-168256	Interleukin-2 signaling pathway; Immunoregulatory interactions between a lymphoid and a non-lymphoid cell; Natural killer cell-mediated cytotoxicity	Microglia Pathogen Phagocytosis Pathway WP3937; Focal Adhesion WP306; Cells and Molecules involved in local acute inflammatory response  WP4493	Natural killer cell mediated cytotoxicity; Leukocyte transendothelial migration; Regulation of actin cytoskeleton	cytoskeleton-nuclear membrane anchor activity (GO:0140444)	GATA3,T,KMT2A,TAL1,RUNX1,MYB,TBX21,RXRG,LMO2,MED12,JMJD1C,RUNX1T1,CEBPA,FLI1,SMAD1,ERG,STAT5B,STAT5,LYL1,TLX1	Th1	HOPX,KLF2,LITAF,AES,ZEB2	GATA3,T,TAL1,RUNX1,MYB	TBX21,IRF1	TBX21,IRF1,YBX1	NK,CD8Teff,CD8Tex,CD4Teff,CD8Tcm,CD8Tem
12	MeC_12	EOMES,JUNB,SUB1,JUN,ELF1	GZMK,CCL5,GZMA,DUSP2,CST7,CMC1,NKG7,CD74,CCL4,COTL1,SH2D1A,CD27,CXCR4,CD8A,CLDND1,RGS1,KLRG1,CD8B,SRSF7,LYAR	GZMK,CCL5,GZMA,DUSP2,CST7,CMC1,NKG7,CD74,CCL4,COTL1,SH2D1A,CD27,CXCR4,CD8A,CLDND1,RGS1,KLRG1,CD8B,SRSF7,LYAR,CD44,ITM2C,HLA-DRB1,TRAT1,GZMM,LYST,EOMES,PPP2R5C,APOBEC3G,PYHIN1,STK17A,GIMAP4,OAZ1,IL32,DNAJB1,ITM2A,FYN,BTG1,TRAC,PTPRC,CLEC2B,PPDPF,SRGN,LDHA,GPR183,CRTAM,HCST,HLA-DPB1,CD3D,CD3E,CNN2,SAMD3,PIK3R1,HLA-DPA1,TIGIT,JUNB,RARRES3,PLEK,ITGB2,RPS15A,TC2N,CTSC,RPL27A,WIPF1,RNF213,TUBA4A,RPL13A,CSTB,MYL12B,TRBC2,MT2A,CD69,GUK1,PSMB9,ARPC3,HERPUD1,IFNG,CD84,CCL4L2,ANXA2,PTP4A2,MIAT,CYBA,ALDOA,DUSP4,TERF2IP,ARL6IP1,CD2,SUB1,GABARAPL2,CALM2,GIMAP7,YPEL5,DTHD1,JUN,ELF1,ATP6V1G1,CHI3L2,PNRC1,TSPYL2	Interleukin-2 signaling pathway; Immune System Homo sapiens R-HSA-168256; Allograft Rejection; Adaptive Immune System Homo sapiens R-HSA-1280218; Immune system	Allograft Rejection; TNF-alpha Signaling via NF-kB; Interferon Gamma Response	cytokine-mediated signaling pathway (GO:0019221); cellular response to interferon-gamma (GO:0071346); T cell receptor signaling pathway (GO:0050852)	Immune System Homo sapiens R-HSA-168256; Adaptive Immune System Homo sapiens R-HSA-1280218; Phosphorylation of CD3 and TCR zeta chains Homo sapiens R-HSA-202427	Interleukin-2 signaling pathway; Immune system; Adaptive immune system	T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863; T-Cell antigen Receptor (TCR)  Signaling Pathway WP69; T-Cell Receptor and Co-stimulatory Signaling WP2583	T cell receptor signaling pathway; Hematopoietic cell lineage; Rheumatoid arthritis		GATA3,T,KMT2A,STAT5B,MYB,SPI1,TBX21,STAT6,RUNX1,CD74,NFKB2,RAG1,CDK9,RELA,TAL1,ETS1,JUNB,NOTCH1,CREBBP,ZNF799	Th1	PYHIN1,BTG1,SUB1,JUN,ELF1	GATA3,T,STAT5B,MYB,SPI1	JUNB,ETS1	JUNB,ETS1,EOMES	CD8Tex,CD8Tcm,NK,CD4Teff,CD8Tem,CD8Teff
13	MeC_13	GATA2,TSC22D1,EGR1,FOXP1,FOSB,ELF1,ID2,AHR	TPSAB1,TPSB2,CPA3,CLU,HPGDS,ANXA1,SAMSN1,SRGN,GATA2,VWA5A,HPGD,SLC18A2,LAPTM4A,GLUL,RGS2,CD69,CAPG,KIT,MS4A2,RGS1	TPSAB1,TPSB2,CPA3,CLU,HPGDS,ANXA1,SAMSN1,SRGN,GATA2,VWA5A,HPGD,SLC18A2,LAPTM4A,GLUL,RGS2,CD69,CAPG,KIT,MS4A2,RGS1,CTSG,CD9,CD63,HDC,IL1RL1,ALOX5AP,FCER1G,RGS13,RAC2,LTC4S,PLIN2,VIM,ARHGDIB,LAPTM5,CD44,PRDX6,TIMP1,NFKBIA,MAOB,CLIC1,CTSD,TSC22D1,NSMCE1,UBB,DUSP6,ACSL4,PTGS1,LMNA,SH3BGRL3,BIRC3,LMO4,BTK,EGR1,ARHGAP18,SDCBP,FOXP1,CTNNBL1,CD82,ALOX5,FOSB,NFKBIZ,NDUFA4,LAT2,S100A4,TNFSF10,FXYD5,PPP1R15A,ASAH1,TYROBP,STMN1,LAT,ELF1,ID2,PRDX1,ADCYAP1,C1ORF186,S100A6,FTH1,CD37,PTGS2,GCSAML,SOCS1,ALDH1A1,EMP3,RPL36AL,SMYD3,CNRIP1,IFITM2,SERPINB1,AREG,TAGLN2,RGS10,AHR,ARHGEF6,AKAP13,ATP6V1F,IER2,DRAP1,TPSD1,RAB27B	BDNF signaling pathway; TNF-alpha Signaling via NF-kB; Interleukin-2 signaling pathway; Interleukin-5 regulation of apoptosis; KRAS Signaling Up	TNF-alpha Signaling via NF-kB; KRAS Signaling Up; Apoptosis	lipoxygenase pathway (GO:0019372); lipoxin metabolic process (GO:2001300); lipoxin biosynthetic process (GO:2001301)	Synthesis of Lipoxins (LX) Homo sapiens R-HSA-2142700; Arachidonic acid metabolism Homo sapiens R-HSA-2142753; Synthesis of Prostaglandins (PG) and Thromboxanes (TX) Homo sapiens R-HSA-2162123	BDNF signaling pathway; Interleukin-2 signaling pathway; Interleukin-5 regulation of apoptosis	Prostaglandin Synthesis and Regulation WP98; Eicosanoid Synthesis WP167; Nuclear Receptors Meta-Pathway WP2882	Fc epsilon RI signaling pathway; Arachidonic acid metabolism; Lysosome		SMAD1,RUNX1,TAL1,5HMC,MED12,GATA2,LMO2,ERG,RUNX1T1,LYL1,MYB,GATA1,SPI1,FOSL2,RAD21,NR3C1,CEBPB,GATA3,CEBPA,HES2	Haematopoietic Progenitor Cell,Blood	NFKBIA,TSC22D1,LMO4,EGR1,FOSB	SMAD1,RUNX1,TAL1,MED12,ERG	GATA2,LYL1,NR4A1,FOXP1	GATA2,LYL1,NR4A1,FOXP1	Mast
14	MeC_14	CARHSP1,HMGA1	DUT,PCNA,TYMS,MCM7,TK1,RRM2,STMN1,MCM5,MCM3,DEK,HIST1H4C,RANBP1,FEN1,SLBP,H2AFZ,DHFR,GINS2,PCLAF,NASP,TMEM106C	DUT,PCNA,TYMS,MCM7,TK1,RRM2,STMN1,MCM5,MCM3,DEK,HIST1H4C,RANBP1,FEN1,SLBP,H2AFZ,DHFR,GINS2,PCLAF,NASP,TMEM106C,DNMT1,HELLS,TUBB,CENPM,CLSPN,ZWINT,SIVA1,ASF1B,DNAJC9,IDH2,RPA3,ATAD2,MCM6,NAP1L1,CENPU,MCM4,MCM2,LIG1,CARHSP1,KIAA0101,CDCA7,TUBA1B,HNRNPF,RNASEH2A,GMNN,RFC2,RRM1,CDK4,PPDPF,PKMYT1,SVIP,RPA2,HPRT1,CDT1,TCF19,SNRPB,FAM111B,CRIP1,ARL6IP6,RFC4,HSPB11,H2AFY,HAT1,UNG,CENPK,RBBP7,SMC3,TMEM109,GGCT,PSIP1,CDC45,USP1,UBE2T,UHRF1,WDR76,CENPH,RAD51AP1,RBBP4,PA2G4,NUDT1,HNRNPAB,SNRNP25,SRSF2,ANXA5,WDR34,LDHB,EIF4EBP1,PGAM1,TPI1,FABP5,CKLF,SMC1A,PRDX2,GGH,CDC6,C19orf48,SMC2,COPS3,PTMA,HMGA1	E2F Targets; Retinoblastoma Gene in Cancer WP2446; Cell cycle; Cell Cycle, Mitotic Homo sapiens R-HSA-69278; Cell Cycle Homo sapiens R-HSA-1640170	E2F Targets; Myc Targets V1; G2-M Checkpoint	DNA metabolic process (GO:0006259); DNA replication (GO:0006260); DNA replication initiation (GO:0006270)	Cell Cycle, Mitotic Homo sapiens R-HSA-69278; Cell Cycle Homo sapiens R-HSA-1640170; DNA strand elongation Homo sapiens R-HSA-69190	Cell cycle; DNA replication; DNA strand elongation	Retinoblastoma Gene in Cancer WP2446; DNA Replication WP466; G1 to S cell cycle control WP45	DNA replication; Cell cycle; Mismatch repair	DNA replication origin binding (GO:0003688); single-stranded DNA binding (GO:0003697); single-stranded DNA helicase activity (GO:0017116)	E2F1,E2F4,RBL2,RB1,RELA,TFDP1,KAT2B,SAP30,E2F7,TBP,RNF2,MYH11,BRD4,PHF8,GTF2B,FOXP1,NELFA,CHD2,MXI1,HDAC1	Mesenchymal Stem Cell,Umbilical Cord	NASP,HELLS,ATAD2,CARHSP1,GMNN	E2F4,RBL2,RB1,RELA,KAT2B	TFDP1,E2F1,FOS	TFDP1,E2F1,FOS,EGR1,EZH2,CBX3,MYBL2,BRCA1,PSIP1,RBBP4	TMKI67
15	MeC_15	YBX1	RPL41,RPL26,RPL23A,RPS12,RPS15A,RPS29,RPL30,RPL32,RPL21,RPL12,RPS14,RPS18,RPS13,RPL34,RPL19,RPL35A,RPS25,RPL39,RPL31,PPDPF	RPL41,RPL26,RPL23A,RPS12,RPS15A,RPS29,RPL30,RPL32,RPL21,RPL12,RPS14,RPS18,RPS13,RPL34,RPL19,RPL35A,RPS25,RPL39,RPL31,PPDPF,RPS27A,EEF1D,RPS23,PFDN5,RPL29,RPS27,RPS10,RPL27,FTL,RPLP1,RPLP2,RPL9,RPL38,RPS3A,FTH1,RPL17,RPL37,RPL36A,UBB,RPL18A,RPS7,FAU,RPS21,RPL10A,NACA,RPL22,RPL36,RPS15,RPL28,RPL8,RPL37A,RPS4X,UBA52,RPS16,TPT1,RPS5,RPL10,RPS8,RPL15,HMGN2,RPS20,RPS24,RPS28,RPL11,RPL35,RPL24,RPS6,RPL6,RPL13,SH3BGRL3,TOMM7,RPS11,COMMD6,RPS26,RPS3,SERF2,RPS19,PNRC1,RPS9,CCL5,RPL18,PFN1,S100A4,TMA7,TMSB10,RPL27A,UBC,COX4I1,RPL7A,TMSB4X,H2AFZ,ATP5E,RPL36AL,RPL7,OAZ1,RPL14,YBX1,CST7,H3F3B,SNRPD2	Viral mRNA Translation Homo sapiens R-HSA-192823; Peptide chain elongation Homo sapiens R-HSA-156902; Eukaryotic Translation Elongation Homo sapiens R-HSA-156842; Selenocysteine synthesis Homo sapiens R-HSA-2408557; Eukaryotic Translation Termination Homo sapiens R-HSA-72764	Myc Targets V1; Allograft Rejection	SRP-dependent cotranslational protein targeting to membrane (GO:0006614); cytoplasmic translation (GO:0002181); cotranslational protein targeting to membrane (GO:0006613)	Viral mRNA Translation Homo sapiens R-HSA-192823; Peptide chain elongation Homo sapiens R-HSA-156902; Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	Cytoplasmic ribosomal proteins; Influenza viral RNA transcription and replication; Translation	Cytoplasmic Ribosomal Proteins WP477	Ribosome; Coronavirus disease; Mitophagy	RNA binding (GO:0003723); ubiquitin ligase inhibitor activity (GO:1990948); ubiquitin-protein transferase inhibitor activity (GO:0055105)	BRD4,EZH2,WDR5,MYC,KAT2B,MED1,GTF2B,TP53,KAT5,FOXM1,MAFB,GTF2F1,BRD2,TAF7,NELFE,BMI1,SNAPC1,TAFII,ZNF22,GTF2E2	Proerythroblast,Fetal Liver	PFDN5,HMGN2,YBX1,NFKBIA,BTG1	BRD4,EZH2,MYC,KAT2B,MED1		IRF1,CREM,JUN,KLF6	CD8Tn,Th17
16	MeC_16	RORA,ID2,CEBPD,SATB1,BHLHE40,ZBTB16,HOPX,XBP1,MYC	KLRB1,LTB,IL7R,GZMK,S100A4,RORA,SPOCK2,NCR3,GZMA,DUSP1,S100A6,CXCR4,ID2,LAPTM5,AQP3,KLRG1,TNFAIP3,ALOX5AP,FKBP11,RGS2	KLRB1,LTB,IL7R,GZMK,S100A4,RORA,SPOCK2,NCR3,GZMA,DUSP1,S100A6,CXCR4,ID2,LAPTM5,AQP3,KLRG1,TNFAIP3,ALOX5AP,FKBP11,RGS2,DUSP2,GPR65,LYAR,NKG7,RPLP0,CXCR6,CEBPD,GYG1,IL32,GBP5,JAML,LST1,PRF1,CD69,CCR6,MT2A,SLC4A10,CTSA,SATB1,NFKBIA,LGALS3,IFNGR1,TNFRSF25,SYNE2,LAG3,YWHAQ,CTSW,LCP1,DPP4,IL2RG,CTSH,EIF4A1,LINC01871,ZFP36,CCL5,PDE4D,PBXIP1,ZFP36L1,CCL20,OSTF1,TNFAIP8,SRSF3,UCP2,ERN1,TMIGD2,ARL4C,ODF2L,EML4,SERP1,PDCD4,PIM1,MGAT4A,YWHAH,CASP1,CCDC107,PARP8,UBC,CD96,MYO1F,SESN1,BHLHE40,TTC39C,TPM3,CALM1,CNN2,DDIT4,ZBTB16,CD74,HOPX,TC2N,SLC25A6,ATF7IP2,XBP1,JAK1,CST7,MT-CO3,MYC,PHACTR2,PERP,BZW1	Interleukin-2 signaling pathway; TNF-alpha Signaling via NF-kB; cellular response to cytokine stimulus (GO:0071345); cytokine-mediated signaling pathway (GO:0019221); T cell receptor regulation of apoptosis	TNF-alpha Signaling via NF-kB; Complement; IL-2/STAT5 Signaling	cellular response to cytokine stimulus (GO:0071345); cytokine-mediated signaling pathway (GO:0019221); positive regulation of fat cell differentiation (GO:0045600)	Immune System Homo sapiens R-HSA-168256; Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215; Chemokine receptors bind chemokines Homo sapiens R-HSA-380108	Interleukin-2 signaling pathway; T cell receptor regulation of apoptosis; Interleukin-4 regulation of apoptosis	IL-7 Signaling Pathway WP205; Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203; Apoptosis WP254	Cytokine-cytokine receptor interaction; Pathways in cancer; Kaposi sarcoma-associated herpesvirus infection	C-C chemokine binding (GO:0019957); chemokine binding (GO:0019956); cytokine receptor activity (GO:0004896)	RUNX1,T,MYB,KMT2A,TAL1,GATA3,STAT6,LMO1,CDK9,TBX21,TCF7L1,STAT5B,SMAD1,CDK7,SMARCA4,TCF12,PPARG,RXRG,HDAC6,ETS1	Jurkat E6-1,T Lymphocyte,Blood	RORA,ID2,CEBPD,SATB1,NFKBIA	RUNX1,T,MYB,TAL1,GATA3	MAF	MAF,MYC,BHLHE40	MAIT,Th17,CD8Tcm,CD8Tex
17	MeC_17	FOS,ZEB2,CEBPB	S100A9,S100A8,LYZ,FCN1,VCAN,CTSS,S100A4,S100A6,TIMP1,PSAP,SERPINA1,TKT,THBS1,CFD,IL1B,TSPO,CD55,LST1,CSTA,COTL1	S100A9,S100A8,LYZ,FCN1,VCAN,CTSS,S100A4,S100A6,TIMP1,PSAP,SERPINA1,TKT,THBS1,CFD,IL1B,TSPO,CD55,LST1,CSTA,COTL1,S100A12,CD52,DUSP1,FGR,CFP,APOBEC3A,AP1S2,MNDA,SAMSN1,TYROBP,SLC11A1,C1orf162,EREG,SOD2,AIF1,FPR1,STXBP2,SH3BGRL3,BCL2A1,NAMPT,C5AR1,LTA4H,NCF2,SERPINB1,OAZ1,DUSP6,CD300E,FCER1G,APLP2,TNFRSF1B,CORO1A,IFI30,CD36,RETN,LYST,NEAT1,LCP1,FKBP1A,VMP1,CLEC12A,SLC25A6,H3F3A,PLBD1,PLAUR,CXCL2,RGS2,NFKBIA,TYMP,SRGN,CD48,MPEG1,PLAC8,HCK,CST3,FOS,EVI2B,TALDO1,CARD16,AQP9,CYBB,CD14,GSTP1,LILRB2,MARCO,WARS,MCEMP1,ZEB2,AC020656.1,ITGB2,CSF3R,PRELID1,CD44,CEBPB,CYBA,ATP2B1,SERP1,G0S2,PTPRE,SDCBP,SRSF5	neutrophil mediated immunity (GO:0002446); neutrophil activation involved in immune response (GO:0002283); neutrophil degranulation (GO:0043312); Inflammatory Response; inflammatory response (GO:0006954)	Inflammatory Response; TNF-alpha Signaling via NF-kB; Complement	neutrophil mediated immunity (GO:0002446); neutrophil activation involved in immune response (GO:0002283); neutrophil degranulation (GO:0043312)	Immune System Homo sapiens R-HSA-168256; Innate Immune System Homo sapiens R-HSA-168249; Hemostasis Homo sapiens R-HSA-109582	Leptin influence on immune response; Interleukin-2 signaling pathway; Phagosome	Microglia Pathogen Phagocytosis Pathway WP3937; Human Complement System WP2806; Spinal Cord Injury WP2431	Phagosome; Leishmaniasis; Lipid and atherosclerosis	RAGE receptor binding (GO:0050786); superoxide-generating NAD(P)H oxidase activity (GO:0016175); endopeptidase inhibitor activity (GO:0004866)	SMAD1,SPI1,CEBPA,RUNX1,JMJD1C,STAT1,KMT2A,IRF1,LYL1,BRD4,MYC,CEBPB,LMO2,FLI1,REST,PPARG,HDAC2,KLF1,PML,RUNX1T1	U937,Pleura	MNDA,NFKBIA,ZEB2,PFDN5,POU2F2	SMAD1,CEBPA,RUNX1,JMJD1C,STAT1	SPI1,CEBPB,FOS	SPI1,CEBPB,FOS	Monocyte
18	MeC_18	TSC22D3,POU2F2,ID3,SP100,IRF8,REL,TCF4,NR4A2,SP140,HMGB1	CD74,CD79A,MS4A1,CD37,HLA-DRA,CD52,LAPTM5,IGKC,CD79B,CD83,HLA-DRB1,BANK1,EZR,LTB,IGHM,BTG1,CD69,HLA-DQB1,CXCR4,MEF2C	CD74,CD79A,MS4A1,CD37,HLA-DRA,CD52,LAPTM5,IGKC,CD79B,CD83,HLA-DRB1,BANK1,EZR,LTB,IGHM,BTG1,CD69,HLA-DQB1,CXCR4,MEF2C,HLA-DPB1,HLA-DPA1,ARPC3,SMIM14,HLA-DQA1,ZFP36L1,LINC00926,SNX2,CYBA,ISG20,CD53,LY9,VPREB3,ADAM28,NCF1,SWAP70,TSC22D3,POU2F2,ID3,RALGPS2,SP100,IRF8,YWHAZ,CORO1A,FCMR,BIRC3,TXNIP,CD22,REL,SYPL1,ARHGAP24,SNX3,SEPT7,TNFRSF13C,BLK,HERPUD1,IGLC2,RAC2,TCL1A,PDLIM1,SYNGR2,LIMD2,IGHD,CLIC1,IFT57,CD19,HVCN1,HLA-DMA,CD24,TAGLN2,IGHA1,STK17A,LY86,PARP14,OAZ1,CD55,FCRLA,TPD52,RPS11,CD40,IGLC3,LSM7,TCEA1,EMP3,EVI2B,TCF4,PTPRCAP,PKIG,RHOH,RPLP2,HLA-DMB,NR4A2,SP140,RPS5,H3F3A,RCSD1,PARP1,FCER2,HMGB1,ORAI2	Hematopoietic cell lineage; Immune system; Intestinal immune network for IgA production; Intestinal immune network for IgA production; Antigen-activated B-cell receptor generation of second messengers	Interferon Gamma Response; Allograft Rejection; IL-2/STAT5 Signaling	antigen receptor-mediated signaling pathway (GO:0050851); antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886); antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	Immune System Homo sapiens R-HSA-168256; CD22 mediated BCR regulation Homo sapiens R-HSA-5690714; Antigen activates B Cell Receptor (BCR) leading to generation of second messengers Homo sapiens R-HSA-983695	Immune system; Intestinal immune network for IgA production; Antigen-activated B-cell receptor generation of second messengers	Allograft Rejection WP2328; Ebola Virus Pathway on Host WP4217; B Cell Receptor Signaling Pathway WP23	Hematopoietic cell lineage; Intestinal immune network for IgA production; Viral myocarditis	MHC class II protein complex binding (GO:0023026); MHC class II receptor activity (GO:0032395); CD4 receptor binding (GO:0042609)	CIITA,CD74,FOXO1,SPI1,RELA,MEF2B,CREBBP,NCOR2,BCL6,MED1,PAX5,KMT2A,SND1,BRD4,SP1,BHLHE40,NCOR1,ETV6,CDK9,EED	Raji,B Lymphocyte,Blood	BTG1,TSC22D3,ID3,SP100,IRF8	CIITA,FOXO1,SPI1,RELA,MEF2B	PAX5,MYC,FOXP1,ELF1,REL,POU2F2,BACH2,SPIB,JUND	PAX5,MYC,FOXP1,ELF1,REL,POU2F2,BACH2,SPIB,JUND,TCF4,PRDM2,JUN,SMARCB1	B,cDC1,M1
19	MeC_19	CREM,MAF,MAFB	C1QB,C1QA,APOE,C1QC,CTSD,APOC1,LGMN,PLD3,GPNMB,RNASE1,FTL,CTSB,CD14,TMEM176B,ASAH1,LIPA,ACP5,SLC40A1,PSAP,CTSL	C1QB,C1QA,APOE,C1QC,CTSD,APOC1,LGMN,PLD3,GPNMB,RNASE1,FTL,CTSB,CD14,TMEM176B,ASAH1,LIPA,ACP5,SLC40A1,PSAP,CTSL,MS4A4A,A2M,CD68,CTSC,SELENOP,CREG1,MS4A6A,MS4A7,FOLR2,DAB2,PRDX1,PLTP,FCGRT,FCGR3A,TMEM176A,SLCO2B1,CTSZ,CAPG,TREM2,CD163,GRN,HLA-E,SEPP1,HLA-DMB,ITM2B,LAPTM5,STAB1,GLUL,FUCA1,CD81,BLVRB,HMOX1,CTSS,HLA-DQA1,GM2A,CTSA,CD63,NUPR1,PMP22,TYROBP,AKR1B1,VSIG4,HLA-A,RGS1,NPC2,CREM,SDS,CD4,MSR1,ATOX1,NINJ1,ARL4C,MAF,ATP6V1F,MAFB,CFD,RNASE6,HLA-DMA,GPR34,ADAP2,LGALS3,GPX1,FCGR2A,UCP2,SDCBP,UBB,LAIR1,AIF1,MMP9,AKR1A1,PLA2G7,CD59,LY96,HEXA,FCER1G,LAMP1,CD9,TIMP2,CSF1R,CCL18	Lysosome; Lysosome; neutrophil mediated immunity (GO:0002446); neutrophil activation involved in immune response (GO:0002283); neutrophil degranulation (GO:0043312)	Complement; Allograft Rejection; KRAS Signaling Up	neutrophil mediated immunity (GO:0002446); neutrophil activation involved in immune response (GO:0002283); neutrophil degranulation (GO:0043312)	Immune System Homo sapiens R-HSA-168256; MHC class II antigen presentation Homo sapiens R-HSA-2132295; Innate Immune System Homo sapiens R-HSA-168249	Lysosome; Phagosome; TGF-beta regulation of extracellular matrix	TYROBP Causal Network WP3945; Allograft Rejection WP2328; Microglia Pathogen Phagocytosis Pathway WP3937	Lysosome; Phagosome; Antigen processing and presentation	low-density lipoprotein particle binding (GO:0030169); MHC class II protein complex binding (GO:0023026); lipoprotein particle binding (GO:0071813)	SMAD1,SPI1,STAT1,CEBPB,IRF1,INO80,CEBPA,VDR,FAIRE,SRPK2,STAT5,JMJD1C,BRD4,GATA2,RUNX1,SPIB,CDK8,PPARG,MAX,LMO2	U937,Pleura	CREG1,MAF,MAFB,LITAF,NR4A2	SMAD1,SPI1,CEBPB,IRF1,INO80	STAT1,CREM	STAT1,CREM,JUN,NR1H3	M2,M1,Monocyte
